Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,45.490002,46.099998,45.110001,45.279999,35.783455,1932600
2003-12-08,45.349998,45.840000,44.619999,45.520000,35.973129,2038600
2003-12-15,46.299999,46.299999,45.000000,45.910000,36.389427,1769400
2003-12-22,45.040001,46.299999,45.040001,46.060001,36.583527,1203200
2003-12-29,47.000000,47.220001,46.310001,46.549999,36.972721,1871700
2004-01-05,47.169998,47.889999,46.820000,47.380001,37.631954,2430900
2004-01-12,47.410000,48.240002,47.060001,48.240002,38.315018,3699400
2004-01-19,48.310001,48.650002,47.849998,48.099998,38.203823,1609800
2004-01-26,48.340000,48.889999,47.320000,47.830002,37.989368,2159000
2004-02-02,47.770000,48.340000,47.439999,48.290001,38.354725,4188900
2004-02-09,48.119999,48.889999,48.029999,48.259998,38.330894,2850000
2004-02-16,48.950001,49.110001,47.900002,48.250000,38.322964,1530900
2004-02-23,48.369999,48.410000,47.630001,48.110001,38.211754,3935800
2004-03-01,48.279999,48.790001,47.849998,48.419998,38.457973,4462100
2004-03-08,48.590000,48.599998,46.250000,46.980000,37.314251,1664200
2004-03-15,46.849998,47.040001,46.040001,46.250000,36.734444,1332000
2004-03-22,45.849998,46.680000,45.330002,46.400002,36.853573,1672500
2004-03-29,46.759998,48.040001,46.590000,47.930000,38.137684,1715700
2004-04-05,48.060001,48.419998,47.599998,47.889999,38.105850,1053000
2004-04-12,47.880001,48.310001,47.240002,47.770000,38.010368,975700
2004-04-19,47.750000,48.240002,47.029999,48.209999,38.360477,1978800
2004-04-26,48.320000,48.410000,46.509998,46.570000,37.055538,1614500
2004-05-03,46.549999,47.419998,46.380001,46.380001,36.904358,947300
2004-05-10,46.009998,46.650002,45.520000,46.259998,36.808868,2448100
2004-05-17,45.880001,46.740002,45.500000,46.139999,36.713379,1909900
2004-05-24,45.860001,47.480000,45.860001,47.480000,37.779621,1363600
2004-05-31,47.139999,47.750000,47.009998,47.369999,37.692093,815800
2004-06-07,47.880001,48.340000,47.680000,47.939999,38.145653,854400
2004-06-14,47.799999,48.099998,47.400002,47.790001,38.026279,737100
2004-06-21,47.720001,48.230000,47.189999,47.680000,37.938770,3525800
2004-06-28,47.980000,48.020000,46.970001,47.049999,37.493652,3030300
2004-07-05,46.919998,46.919998,46.110001,46.270000,36.872082,1489900
2004-07-12,46.340000,46.459999,45.419998,45.500000,36.258488,771400
2004-07-19,45.700001,46.220001,44.430000,44.599998,35.541286,5290400
2004-07-26,44.799999,45.340000,44.080002,45.340000,36.130970,1132300
2004-08-02,45.119999,45.400002,43.200001,43.299999,34.505310,2664000
