Date,Open,High,Low,Close,Adj Close,Volume
2001-07-30,121.190002,123.250000,120.300003,121.940002,80.307068,54293000
2001-08-06,121.349998,121.510002,117.339996,119.290001,78.561836,57890800
2001-08-13,119.599998,120.349998,116.010002,116.750000,76.889053,51469600
2001-08-20,116.800003,119.129997,115.779999,119.019997,78.384018,57082300
2001-08-27,118.970001,119.199997,112.040001,114.150002,75.176720,69329700
2001-09-03,113.849998,116.169998,108.629997,108.720001,71.600670,100737400
2001-09-10,107.699997,110.349998,107.699997,110.050003,72.476532,23408700
2001-09-17,101.000000,106.400002,93.800003,97.279999,64.066498,183182700
2001-09-24,99.720001,109.620003,99.059998,104.440002,69.040009,111827300
2001-10-01,103.900002,108.970001,102.830002,107.230003,70.884346,134806500
2001-10-08,106.269997,110.300003,105.519997,109.500000,72.384941,103300800
2001-10-15,108.629997,111.150002,106.010002,107.349998,70.963676,99714900
2001-10-22,107.300003,111.790001,106.739998,110.320000,72.927010,101759500
2001-10-29,110.160004,110.550003,105.559998,109.250000,72.219696,120413000
2001-11-05,110.120003,114.080002,109.849998,112.720001,74.513512,97350600
2001-11-12,111.000000,115.400002,110.000000,114.360001,75.597649,96541400
2001-11-19,114.919998,115.849998,113.510002,115.680000,76.470200,48022400
2001-11-26,115.750000,116.900002,113.000000,114.050003,75.392715,83217900
2001-12-03,113.650002,118.000000,113.010002,116.559998,77.051964,94495000
2001-12-10,115.849998,116.389999,112.000000,113.129997,74.784546,86616100
2001-12-17,112.989998,115.919998,112.900002,114.949997,75.987656,76638600
2001-12-24,114.830002,116.750000,114.610001,116.000000,76.945526,36034700
2001-12-31,116.150002,117.980003,113.809998,117.620003,78.020073,69155100
2002-01-07,117.699997,117.989998,114.699997,114.940002,76.242393,68932300
2002-01-14,114.650002,115.389999,112.669998,113.150002,75.055016,83899400
2002-01-21,113.750000,114.250000,112.019997,113.550003,75.320389,49081700
2002-01-28,113.900002,114.190002,108.400002,112.650002,74.723335,108769500
2002-02-04,112.230003,112.230003,108.000000,110.089996,73.025276,130066600
2002-02-11,110.050003,112.970001,109.820000,110.889999,73.555931,88336600
2002-02-18,110.150002,110.629997,107.820000,109.639999,72.726753,98092400
2002-02-25,109.739998,113.849998,109.699997,113.739998,75.446396,118432100
2002-03-04,113.900002,117.900002,113.650002,116.989998,77.602242,109307600
2002-03-11,116.889999,117.900002,115.629997,116.650002,77.376678,82338900
2002-03-18,117.099998,117.739998,114.120003,115.040001,76.527321,93657600
2002-03-25,115.089996,115.769997,113.300003,114.519997,76.181412,74000400
2002-04-01,114.230003,115.099998,112.160004,112.690002,74.964066,101992900
2002-04-08,111.320000,113.540001,110.040001,111.419998,74.119232,89196400
2002-04-15,111.620003,113.669998,110.199997,112.879997,75.090393,81059900
2002-04-22,112.379997,112.430000,107.290001,107.389999,71.438347,95013900
2002-04-29,107.930000,109.910004,106.629997,107.580002,71.564751,95625800
2002-05-06,107.639999,109.360001,104.900002,105.720001,70.327415,110502300
2002-05-13,106.220001,111.250000,105.790001,110.900002,73.773270,134329900
2002-05-20,110.639999,110.690002,108.000000,108.690002,72.303131,72312000
2002-05-27,109.050003,109.129997,105.900002,107.220001,71.325226,77054400
2002-06-03,107.089996,107.599998,101.720001,103.339996,68.744179,118618500
2002-06-10,103.239998,104.540001,98.500000,101.400002,67.453674,130328000
2002-06-17,101.919998,105.029999,98.680000,99.279999,66.043358,117698100
2002-06-24,98.610001,100.889999,95.190002,98.959999,66.060913,168238900
2002-07-01,99.180000,99.800003,93.720001,99.309998,66.294563,104063400
2002-07-08,98.980003,99.699997,90.320000,91.849998,61.314625,196756600
2002-07-15,91.639999,93.300003,84.300003,84.709999,56.548302,289709500
2002-07-22,84.099998,85.930000,77.680000,85.599998,57.142448,388024300
2002-07-29,87.500000,91.550003,85.620003,86.790001,57.936821,264039800
2002-08-05,86.489998,91.940002,83.550003,91.290001,60.940796,245429700
2002-08-12,89.989998,94.080002,88.019997,93.220001,62.229176,215024600
2002-08-19,93.459999,97.150002,93.099998,94.599998,63.150414,175923300
2002-08-26,94.910004,96.250000,90.809998,91.779999,61.267895,181468800
2002-09-02,90.730003,91.000000,87.500000,90.000000,60.079639,233559000
2002-09-09,89.099998,93.330002,88.250000,89.669998,59.859367,187858900
2002-09-16,89.309998,91.190002,84.050003,84.349998,56.307983,225332800
2002-09-23,83.650002,85.970001,81.849998,82.750000,55.487530,293981500
2002-09-30,82.000000,85.769997,79.580002,80.800003,54.179977,321074300
2002-10-07,80.059998,84.730003,77.070000,84.160004,56.433010,371732700
2002-10-14,83.199997,89.300003,83.040001,88.639999,59.437069,301912800
2002-10-21,88.120003,90.900002,87.570000,90.199997,60.483097,240391200
2002-10-28,91.150002,91.290001,87.000000,90.269997,60.530025,234112400
2002-11-04,91.800003,93.070000,89.519997,89.650002,60.114315,240841900
2002-11-11,89.510002,91.550003,87.449997,91.400002,61.287750,206170000
2002-11-18,92.150002,94.269997,89.760002,93.419998,62.642262,186071800
2002-11-25,93.430000,94.949997,91.620003,93.980003,63.017769,133280800
2002-12-02,95.470001,96.050003,89.980003,92.029999,61.710201,234909400
2002-12-09,91.070000,91.620003,89.269997,89.339996,59.906429,180638300
2002-12-16,89.820000,91.790001,88.599998,89.989998,60.342266,175506000
2002-12-23,89.589996,90.610001,87.379997,87.379997,58.880081,73227600
2002-12-30,87.790001,91.379997,87.110001,91.349998,61.555199,140743500
2003-01-06,91.239998,93.639999,91.050003,93.059998,62.707485,190900900
2003-01-13,93.540001,93.860001,90.150002,90.660004,61.090279,176325100
2003-01-20,90.870003,90.919998,86.169998,86.379997,58.206276,203666400
2003-01-27,85.730003,87.180000,84.150002,86.059998,57.990623,263688600
2003-02-03,86.139999,86.809998,82.970001,83.419998,56.211674,235403000
2003-02-10,83.459999,84.879997,81.000000,84.150002,56.703564,245705500
2003-02-17,84.529999,85.800003,83.459999,85.180000,57.397633,161160600
2003-02-24,84.930000,85.230003,82.220001,84.900002,57.208977,219979200
